Sentence,Labels
have to talk a certain way,Personality
spread disease,"Crime, Personality"
get their breasts amputated,"Personality, Health"
all act the same,Personality
will never be loved by a woman,Social status
don't like adoptions,Personality
will even have sex with camels,Morality
shouldn't be assertive,Personality
are offensive,Personality
aren't sinners,Mistreatment
"seek to conquer, not assimilate",Personality
with downs are vegetables,Appearance
make cities worse,Crime
love kfc,Personality
speak their native tongue,Culture
are hard to tell apart,Social status
do not get degrees,Culture
don't circumcise,Culture
and jews should not get along,"Mistreatment, Morality"
have poor family values,Family & relationship
is unpleasant,Personality
are defined by who has sex with them,Social status
are primitive,Ability
are prolific cheaters,Crime
need to behave proper,Personality
are alcoholics,"Morality, Health"
don't try to fit in,Personality
drown often,Ability
love money more than anything,Morality
was insulted,Mistreatment
cant read,Ability
have no friends,Family & relationship
are worse drivers than the blind,Ability
are kidnappers,Crime
should stay out of men's hobbies,Personality
do not have feelings,Personality
are drug addicts,Health
who have sex before marriage are ruined,Personality
often falsely accuse men of crimes,Morality
has a high mortality rate,Health
lack self control,Personality
do poorly in school,Ability
are in gangs,Social status
are unemployed,Financial status
act fake,Personality
"with dwarfism are ""midgets""","Appearance, Health"
are known for large facial features,Appearance
are maids,Social status
talk funny,Personality
are afraid of gas,Personality
make weird noises,Personality
have beards,Appearance
cannot be president,Social status
are vegatables because there's no brain function,Ability
with down syndrome should be killed,Morality
live on the side of the road,Personality
have short hair,Appearance
make bad boyfriends,Personality
with mental illness should not reproduce/should be sterilized,"Mistreatment, Health"
with kids are stupid,Family & relationship
are only attracted to bad boys,Social status
overeat,Personality
live in squallor,Social status
expect too much,Personality
are unaware of their circumstances,Personality
are frivolous,Personality
do not have anything interesting to say,Personality
are beaners,Social status
are just cripples,Health
waste money and have poor finances,Financial status
like to argue,Personality
are rednecks,Social status
can be petty,Personality
are loud,Personality
are confused nowadays,Personality
are always trying to look tough,Personality
are sneaky,Personality
try to trap men,Personality
act crazy,Personality
are always on their phones,Personality
are jealous,Personality
complain about racism,Personality
control the press,Personality
are all cry babies,Personality
support trump,Belief
should be degraded,Social status
need to be ordered around,Mistreatment
only eat rice,Personality
deserved what happened in the halocaust,Mistreatment
cares about them,Personality
are branded with numbers,Culture
can't communicate,Personality
have no classl,Social status
are a conspiracy made up by the govt,Morality
are punching bags,Mistreatment
are ash,Social status
is filled with child sex workers,Morality
fart during sex,Personality
can't fight,Ability
cut off the hands of thieves,Crime
are broken,Personality
are often refugees,Social status
have no purpose,Personality
always wear hijabs,Appearance
are frigid creatures,Personality
don't actually follow what their bible says,Belief
are clingy,Personality
should be hidden,Mistreatment
surrender in wars,Personality
are people from india,Social status
is bad for kids,Personality
should be disowned,Mistreatment
can't run,Ability
are excessively family-oriented,Family & relationship
should get run over by cars,Mistreatment
are religious,Belief
need to stay in their lane,Personality
hurt them,Crime
should accept jesus jokes,Morality
can't forgot about the holocaust,Mistreatment
eat potatoes,Personality
are a mistake,Social status
and emos go hand in hand,Family & relationship
are nuts,Health
are physically limited,Mistreatment
with leprosy fall apart,Health
enjoy random sex,Morality
are okay to tease,Mistreatment
are k*kes,"Social status, Personality"
have their heads up their butts,Ability
hate wo,Personality
can't lift things,Ability
can't win a debate,Ability
should be housewives or homemakers,Social status
are catty,Personality
have often been persecuted for wearing a hijab,Appearance
aren't able to leave of their own free will,Mistreatment
dont have dreams,Personality
all have child brides,Culture
lose their hair,Appearance
enjoy prison,Crime
are not professional,Ability
don't move,Ability
in a vegetative state can't move,Health
are beneath nazis,Social status
have a lot of money,Financial status
are swindlers,Crime
who have add should go to concentration camps,Mistreatment
are taking our jobs,Ability
have vaginal odor,Health
aren't as cute as other races,Appearance
love shopping,Personality
are passive,Social status
make no money,"Financial status, Ability"
make a big deal out of nothing,Personality
should be called oriental,Mistreatment
look the same as chinese,Appearance
shouldn't be in the military,Social status
can't use tools,Ability
aren't complete alone,Family & relationship
can't have non white names,"Mistreatment, Culture"
have no voice,Social status
are the only ones that don't like trump,Personality
want to censor others,Personality
are fascists,Belief
want to take your guns,Crime
take credit for everything,Personality
need democracy,Mistreatment
should be fought against,Mistreatment
hate the free market,Morality
only want to make conservatives look bad,Morality
is dictated by genitalia,Personality
excluded,Social status
"doesn't have a lot of diversity, it's all the same",Social status
falsely claim things are racist,Belief
always talk behind people's backs,"Personality, Morality"
need to be marginalized,Mistreatment
make fun of other people's traditions,Culture
don't want to help homeless,Personality
are conspiring to hurt people,Crime
are contagious,Health
need to be skinny,Appearance
do not care about personality,Personality
don't have a wage gap,Financial status
buy their way through life,Personality
are usually found in hospitals,Health
mostly work in restaurants,Social status
don't really care about immigrants,Personality
have no value since they don't produce offspring,Ability
practice a faulty religion,Belief
act in a tribal manner,Culture
make excuses for their misbehavior,Personality
have no respect for democracy,Personality
of latinos are called jose,Morality
die more often,Mistreatment
