Sentence,Antonym,Labels
who dress provocatively are whores, who dress in a way that makes them feel confident and comfortable should be respected and valued,Appearance
tend to get shot at, tend to avoid being shot,Mistreatment
all go to prison, all go free,Crime
blows things up, builds things up,"Ability, Crime"
of color get special treatment, people of color receive fair and equal treatment,"Mistreatment, Social status, Appearance"
all hate men, all love men,"Morality, Personality"
are spiteful, are kind-hearted,Personality
expresses racism to blacks, promotes equality towards black individuals,"Morality, Belief, Personality"
are sexually active, are sexually inactive,Personality
aren't welcome, are welcome,"Mistreatment, Social status"
are not literate, are literate,Ability
are difficult to educate, are easy to educate,Ability
should be the ones to clean, should not be the ones to clean,"Mistreatment, Social status"
are all entering their respective countries illegally, are all following the legal procedures to enter their respective countries,Crime
are gullible, are discerning,Personality
aren't as desirable as young women, are just as desirable as young women,"Ability, Social status"
are unpleasant smelling, are pleasant smelling,"Appearance, Health"
prefer to be on welfare, prefer to be self-sufficient,Personality
are priviliged, are underprivileged,Social status
look like poop, look like a masterpiece,Appearance
don't care what happens to jewish , care deeply about what happens to Jewish people,Morality
are over zealous about their job, are understated about their job,Personality
eat people, help people,"Personality, Crime"
are a plague, are a blessing,Personality
are into jihad, are advocates for peace,Belief
of color should be isolated, of color should be included,Mistreatment
think all white people should feel guilty, believe all white people should feel proud,"Morality, Belief"
have menial jobs, have esteemed jobs,Social status
are beaten by their fathers, are loved and supported by their fathers,Family & relationship
have weird eyes, have unique and beautiful eyes,Appearance
who are prostitutes are inferior, Those who engage in prostitution are not inferior,Social status
are overzealous, are balanced,Personality
want to get an std, want to maintain good sexual health,"Personality, Health"
are hated and wished to never be born," are loved and cherished, and always enhoy their lives",Mistreatment
is overtaking white people in canada, is being surpassed by people of color in Canada,Social status
are immigrants, are not immigrants,Social status
cooke/eat cats,care for animals,Personality
is funny to watch physically disabled folks be in pain, is compassionate to observe physically disabled individuals experiencing discomfort,Health
eat a lot of chicken, enjoy a variety of chicken dishes,Personality
are jokes, are not jokes,"Ability, Social status, Personality"
are replaceable, are irreplaceable,"Ability, Social status"
don't accomplish anything, accomplish everything,Ability
do not have homes, do have homes,Financial status
are illegal, are legal,Crime
don't have money, have abundant funds,Financial status
need to listen to men, do not need to listen to men,"Ability, Social status"
name their kids differently, name their kids similarly,Culture
should not be president, should be president,Ability
just give blow jobs, seek consensual sexual encounters,"Social status, Personality"
should avoid asians, Should embrace and appreciate Asians,Morality
are gold diggers, are generous,Social status
will have sex with anything, seek consensual sexual encounters,"Morality, Personality"
have sex for favors, seek consensual sexual encounters,"Social status, Personality"
have many sexual partners,are devoted to one sexual partners,"Morality, Personality"
looks weird, looks normal,Appearance
care about money over guys, value relationships over financial gain,"Morality, Belief"
should be used for target practice, should be treated with respect and kindness,Mistreatment
can't control emotions, can control emotions,"Ability, Personality"
can't be sports commentators, can easily become sports commentators,Ability
should look a certain way to be attractive, it's okay to have flaws and imperfections,"Social status, Appearance"
